forecast_valid_time,forecast_issue_time,lead_hours,temperature_2m,cloud_cover,shortwave_radiation
2022-03-03 00:00:00,2022-03-02 19:00:00,5,275.98427734375,0.0,0.0
2022-03-03 01:00:00,2022-03-02 19:00:00,6,275.79509765625,0.0,0.0
2022-03-03 02:00:00,2022-03-02 19:00:00,7,275.6510009765625,0.0,0.0
2022-03-03 03:00:00,2022-03-02 19:00:00,8,275.72001953125,3.2,0.0
2022-03-03 04:00:00,2022-03-02 19:00:00,9,275.90830078125003,0.0,0.0
2022-03-03 05:00:00,2022-03-02 19:00:00,10,275.68149414062503,0.0,0.0
2022-03-03 06:00:00,2022-03-02 19:00:00,11,275.3505859375,0.0,0.0
2022-03-03 07:00:00,2022-03-02 19:00:00,12,275.144765625,1.1,0.0
2022-03-03 08:00:00,2022-03-02 19:00:00,13,275.159296875,1.0,26.5
2022-03-03 09:00:00,2022-03-02 19:00:00,14,275.756953125,0.0,82.86
2022-03-03 10:00:00,2022-03-02 19:00:00,15,276.68466796875003,0.0,141.04
2022-03-03 11:00:00,2022-03-02 19:00:00,16,277.56416015625,0.0,193.76
2022-03-03 12:00:00,2022-03-02 19:00:00,17,278.3092578125,0.0,237.26
2022-03-03 13:00:00,2022-03-02 19:00:00,18,278.70912109375,3.0,269.38
2022-03-03 14:00:00,2022-03-02 19:00:00,19,278.847705078125,3.2,405.12
2022-03-03 15:00:00,2022-03-02 19:00:00,20,278.898583984375,2.1,372.46
2022-03-03 16:00:00,2022-03-02 19:00:00,21,278.590771484375,0.0,328.52
2022-03-03 17:00:00,2022-03-02 19:00:00,22,277.858544921875,0.0,276.58
2022-03-03 18:00:00,2022-03-02 19:00:00,23,276.71447265625,0.0,224.672
2022-03-03 19:00:00,2022-03-02 19:00:00,24,275.9182861328125,1.1,187.232
2022-03-03 20:00:00,2022-03-02 19:00:00,25,275.3027587890625,1.3,0.0
2022-03-03 21:00:00,2022-03-02 19:00:00,26,274.9454345703125,1.3,0.0
2022-03-03 22:00:00,2022-03-02 19:00:00,27,274.7281005859375,1.3,0.0
2022-03-03 23:00:00,2022-03-02 19:00:00,28,274.64150390625,1.3,0.0
2022-03-04 00:00:00,2022-03-02 19:00:00,29,274.56697265625,1.1,0.0
2022-03-04 01:00:00,2022-03-02 19:00:00,30,274.527578125,2.3000000000000003,0.0
2022-03-04 02:00:00,2022-03-02 19:00:00,31,274.48642578125003,1.7000000000000002,0.0
2022-03-04 03:00:00,2022-03-02 19:00:00,32,274.4056640625,3.7,0.0
2022-03-04 04:00:00,2022-03-02 19:00:00,33,274.20554199218753,3.9000000000000004,0.0
2022-03-04 05:00:00,2022-03-02 19:00:00,34,274.14150390625,2.8000000000000003,0.0
2022-03-04 06:00:00,2022-03-02 19:00:00,35,274.0060302734375,1.3,0.0
2022-03-04 07:00:00,2022-03-02 19:00:00,36,273.83947265625,1.3,0.0
2022-03-04 08:00:00,2022-03-02 19:00:00,37,273.99576171875003,1.1,30.38
2022-03-04 09:00:00,2022-03-02 19:00:00,38,274.68408203125,0.0,88.8
2022-03-04 10:00:00,2022-03-02 19:00:00,39,275.62220703125,0.0,148.1
2022-03-04 11:00:00,2022-03-02 19:00:00,40,276.5448046875,0.0,201.66
2022-03-04 12:00:00,2022-03-02 19:00:00,41,277.1960546875,0.0,245.88
2022-03-04 13:00:00,2022-03-02 19:00:00,42,277.54931640625,0.0,278.44
2022-03-04 14:00:00,2022-03-02 19:00:00,43,277.609765625,0.0,416.44
2022-03-04 15:00:00,2022-03-02 19:00:00,44,277.39025390625,0.0,383.32
2022-03-04 16:00:00,2022-03-02 19:00:00,45,276.8803125,0.0,338.74
2022-03-04 17:00:00,2022-03-02 19:00:00,46,276.2805859375,0.0,285.98
2022-03-04 18:00:00,2022-03-02 19:00:00,47,275.88033203125,0.0,232.672
2022-03-04 19:00:00,2022-03-02 19:00:00,48,275.81107421875,0.0,193.888
2022-03-04 20:00:00,2022-03-02 19:00:00,49,275.665234375,0.0,0.0
2022-03-04 21:00:00,2022-03-02 19:00:00,50,275.41791015625,0.0,0.0
2022-03-04 22:00:00,2022-03-02 19:00:00,51,275.08173828125,0.0,0.0
2022-03-04 23:00:00,2022-03-02 19:00:00,52,274.90568359375,0.0,0.0
2022-03-05 00:00:00,2022-03-02 19:00:00,53,274.805625,0.0,0.0
2022-03-05 01:00:00,2022-03-02 19:00:00,54,274.79166015625003,0.0,0.0
2022-03-05 02:00:00,2022-03-02 19:00:00,55,274.78208007812503,0.0,0.0
2022-03-05 03:00:00,2022-03-02 19:00:00,56,274.6548583984375,0.0,0.0
2022-03-05 04:00:00,2022-03-02 19:00:00,57,274.7,0.0,0.0
2022-03-05 05:00:00,2022-03-02 19:00:00,58,274.7056396484375,2.1,0.0
2022-03-05 06:00:00,2022-03-02 19:00:00,59,274.6281005859375,4.800000000000001,0.0
2022-03-05 07:00:00,2022-03-02 19:00:00,60,274.70703125,4.9,0.0
2022-03-05 08:00:00,2022-03-02 19:00:00,61,275.115625,5.0,33.52
2022-03-05 09:00:00,2022-03-02 19:00:00,62,275.9312890625,5.0,92.28
2022-03-05 10:00:00,2022-03-02 19:00:00,63,276.1994140625,5.0,151.44
2022-03-05 11:00:00,2022-03-02 19:00:00,64,276.08408203125003,5.0,204.86
2022-03-05 12:00:00,2022-03-02 19:00:00,65,276.11955078125,5.0,248.92000000000002
2022-03-05 13:00:00,2022-03-02 19:00:00,66,276.1,5.0,281.34000000000003
2022-03-05 14:00:00,2022-03-02 19:00:00,67,276.2125732421875,5.0,418.34000000000003
2022-03-05 15:00:00,2022-03-02 19:00:00,68,276.1125732421875,5.0,385.44
2022-03-05 16:00:00,2022-03-02 19:00:00,69,276.052001953125,4.800000000000001,341.02
2022-03-05 17:00:00,2022-03-02 19:00:00,70,275.80332031250003,3.8000000000000003,288.42
2022-03-05 18:00:00,2022-03-02 19:00:00,71,275.55703125,4.2,235.008
2022-03-05 19:00:00,2022-03-02 19:00:00,72,275.6074951171875,4.800000000000001,195.84
2022-03-05 20:00:00,2022-03-02 19:00:00,73,275.85153808593753,5.0,0.0
2022-03-05 21:00:00,2022-03-02 19:00:00,74,275.9515625,5.0,0.0
2022-03-05 22:00:00,2022-03-02 19:00:00,75,275.8515625,15.9,0.0
2022-03-05 23:00:00,2022-03-02 19:00:00,76,275.8457421875,52.300000000000004,0.0
